"","chain","pct_correct","num_changes","Size","exp"
"1",1,0.881,31,100,"1"
"2",2,0.885,15,100,"1"
"3",3,0.976,7,100,"1"
"4",4,0.774,33,100,"1"
"5",5,0.921,13,100,"1"
"6",6,0.877,19,100,"1"
"7",7,0.963,12,100,"1"
"8",8,0.744,8,100,"1"
"9",9,0.171,8,100,"1"
"10",10,0.871,49,100,"1"
"11",11,0.824,22,100,"1"
"12",12,0.836,21,100,"1"
"13",13,0.894,9,100,"1"
"14",14,0.98,1,100,"1"
"15",15,0.866,38,100,"1"
"16",16,0.817,38,100,"1"
"17",17,0.944,12,100,"1"
"18",18,0.947,17,100,"1"
"19",19,0.927,22,100,"1"
"20",20,0.966,7,100,"1"
"21",21,0.865,13,100,"1"
"22",22,0.205,37,100,"1"
"23",23,0.925,14,100,"1"
"24",24,0.681,31,100,"1"
"25",25,0.86,31,100,"1"
"26",26,0.809,39,100,"1"
"27",27,0.814,18,100,"1"
"28",28,0.968,9,100,"1"
"29",29,0.887,24,100,"1"
"30",30,0.222,21,100,"1"
"31",31,0.971,7,100,"1"
"32",32,0.888,22,100,"1"
"33",33,0.666,11,100,"1"
"34",34,0.398,22,100,"1"
"35",35,0.929,12,100,"1"
"36",36,0.803,34,100,"1"
"37",37,0.815,44,100,"1"
"38",38,0.853,35,100,"1"
"39",39,0.868,9,100,"1"
"40",40,0.938,8,100,"1"
"41",41,0.963,11,100,"1"
"42",42,0.096,13,100,"1"
"43",43,0.435,23,100,"1"
"44",44,0.005,11,100,"1"
"45",45,0.901,14,100,"1"
"46",46,0.995,6,100,"1"
"47",47,0.813,27,100,"1"
"48",48,0.955,11,100,"1"
"49",49,0.97,10,100,"1"
"50",50,0.746,50,100,"1"
"51",51,0.933,10,100,"1"
"52",52,0.802,39,100,"1"
"53",53,0.705,30,100,"1"
"54",54,0.878,36,100,"1"
"55",55,0.332,13,100,"1"
"56",56,0.97,4,100,"1"
"57",57,0.952,13,100,"1"
"58",58,0.736,30,100,"1"
"59",59,0.749,45,100,"1"
"60",60,0.879,5,100,"1"
"61",61,0.81,34,100,"1"
"62",62,0.799,25,100,"1"
"63",63,0.946,14,100,"1"
"64",64,0.414,6,100,"1"
"65",65,0.294,16,100,"1"
"66",66,0.841,24,100,"1"
"67",67,0.966,9,100,"1"
"68",68,0.991,9,100,"1"
"69",69,0.893,33,100,"1"
"70",70,0.849,24,100,"1"
"71",71,0.911,16,100,"1"
"72",72,0.743,25,100,"1"
"73",73,0.909,17,100,"1"
"74",74,0.922,18,100,"1"
"75",75,0.984,7,100,"1"
"76",76,0.626,24,100,"1"
"77",77,0.92,10,100,"1"
"78",78,0.817,16,100,"1"
"79",79,0.681,11,100,"1"
"80",80,0.913,22,100,"1"
"81",81,0.681,6,100,"1"
"82",82,0.976,6,100,"1"
"83",83,0.969,10,100,"1"
"84",84,0.972,12,100,"1"
"85",85,0.843,36,100,"1"
"86",86,0.972,7,100,"1"
"87",87,0.324,4,100,"1"
"88",88,0.667,27,100,"1"
"89",89,0.548,22,100,"1"
"90",90,0.998,1,100,"1"
"91",91,0.969,7,100,"1"
"92",92,0.744,55,100,"1"
"93",93,0.81,46,100,"1"
"94",94,0.246,9,100,"1"
"95",95,0.663,14,100,"1"
"96",96,0.837,17,100,"1"
"97",97,0.761,11,100,"1"
"98",98,0.987,8,100,"1"
"99",99,0.419,34,100,"1"
"100",100,0.205,36,100,"1"
"101",1,0.635,14,10000,"1"
"102",2,0,12,10000,"1"
"103",3,0.987,1,10000,"1"
"104",4,0,6,10000,"1"
"105",5,0.96,12,10000,"1"
"106",6,0.117,8,10000,"1"
"107",7,0.992,5,10000,"1"
"108",8,1,1,10000,"1"
"109",9,0.999,2,10000,"1"
"110",10,0.873,8,10000,"1"
"111",11,0.932,4,10000,"1"
"112",12,0.915,12,10000,"1"
"113",13,0.424,11,10000,"1"
"114",14,0.701,3,10000,"1"
"115",15,0.865,5,10000,"1"
"116",16,0,6,10000,"1"
"117",17,0.999,1,10000,"1"
"118",18,0.936,8,10000,"1"
"119",19,0.136,6,10000,"1"
"120",20,0.015,9,10000,"1"
"121",21,0.09,6,10000,"1"
"122",22,0.44,10,10000,"1"
"123",23,0.946,2,10000,"1"
"124",24,0.928,13,10000,"1"
"125",25,0.989,8,10000,"1"
"126",26,0.277,6,10000,"1"
"127",27,0.968,11,10000,"1"
"128",28,0.144,3,10000,"1"
"129",29,0.902,5,10000,"1"
"130",30,0.908,12,10000,"1"
"131",31,0.034,2,10000,"1"
"132",32,0.49,7,10000,"1"
"133",33,0.996,4,10000,"1"
"134",34,0.947,9,10000,"1"
"135",35,0.999,2,10000,"1"
"136",36,0,15,10000,"1"
"137",37,0.051,16,10000,"1"
"138",38,0.424,11,10000,"1"
"139",39,0.953,3,10000,"1"
"140",40,0,6,10000,"1"
"141",41,0.963,3,10000,"1"
"142",42,0.921,19,10000,"1"
"143",43,0.499,6,10000,"1"
"144",44,0.05,16,10000,"1"
"145",45,0.021,15,10000,"1"
"146",46,0.957,4,10000,"1"
"147",47,0.918,36,10000,"1"
"148",48,0.615,2,10000,"1"
"149",49,0.99,2,10000,"1"
"150",50,0.867,5,10000,"1"
"151",51,0.963,24,10000,"1"
"152",52,0.993,7,10000,"1"
"153",53,0.495,3,10000,"1"
"154",54,0.574,9,10000,"1"
"155",55,0.99,2,10000,"1"
"156",56,0.689,12,10000,"1"
"157",57,0.346,13,10000,"1"
"158",58,0.072,13,10000,"1"
"159",59,0.978,11,10000,"1"
"160",60,0.548,8,10000,"1"
"161",61,0.824,6,10000,"1"
