"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1000,1,1,1,0.826081733515728,0.98
1000,10,1,1,0.79032316227004,0.989
1000,20,1,1,0.787738212962713,0.989
10000,1,1,1,0.436069554974968,0.926
10000,10,1,1,0.38614363471693,0.967
10000,20,1,1,0.375624679313208,0.976
1e+05,1,1,1,0.242009272647715,0.728
1e+05,10,1,1,0.189758580661763,0.948
1e+05,20,1,1,0.186515221283425,0.97
20000,1,1,1,0.401844754441909,0.824
20000,10,1,1,0.349137701479406,0.922
20000,20,1,1,0.345705461667851,0.933
50000,1,1,1,0.304504070056023,0.794
50000,10,1,1,0.258349811520964,0.93
50000,20,1,1,0.257719462495994,0.942
1000,1,10,1,0.75789198757809,0.993
1000,10,10,1,0.722659188785251,0.994
1000,20,10,1,0.724650379674697,0.996
10000,1,10,1,0.432428531694526,0.927
10000,10,10,1,0.396860884920523,0.964
10000,20,10,1,0.389441453559037,0.977
1e+05,1,10,1,0.265981133523404,0.69
1e+05,10,10,1,0.203427882875068,0.941
1e+05,20,10,1,0.2002941659315,0.968
20000,1,10,1,0.380436125368638,0.861
20000,10,10,1,0.340442655111134,0.941
20000,20,10,1,0.325871720470651,0.963
50000,1,10,1,0.311457706008575,0.76
50000,10,10,1,0.266803148592403,0.925
50000,20,10,1,0.260761699423791,0.931
1000,1,100,1,0.859571332247531,0.971
1000,10,100,1,0.828366334133522,0.982
1000,20,100,1,0.836070497509698,0.98
10000,1,100,1,0.477614315572076,0.881
10000,10,100,1,0.438697357034036,0.933
10000,20,100,1,0.429250748819534,0.948
1e+05,1,100,1,0.254166757053395,0.736
1e+05,10,100,1,0.208954540942479,0.932
1e+05,20,100,1,0.201282303659329,0.959
20000,1,100,1,0.375182070302783,0.856
20000,10,100,1,0.351726486316272,0.92
20000,20,100,1,0.34592594436549,0.929
50000,1,100,1,0.306549915080527,0.759
50000,10,100,1,0.252491468339069,0.926
50000,20,100,1,0.247627642666024,0.945
1000,1,11,1,0.849905709045442,0.989
1000,10,11,1,0.805254133959743,0.995
1000,20,11,1,0.808367240239357,0.994
10000,1,11,1,0.437237824631713,0.933
10000,10,11,1,0.400062928894292,0.969
10000,20,11,1,0.394253890342322,0.986
1e+05,1,11,1,0.260637032657676,0.708
1e+05,10,11,1,0.199469727355667,0.95
1e+05,20,11,1,0.193989176013114,0.971
20000,1,11,1,0.383952017900506,0.858
20000,10,11,1,0.345077242246134,0.943
20000,20,11,1,0.338026128194279,0.959
50000,1,11,1,0.309221129123333,0.774
50000,10,11,1,0.260231832198828,0.925
50000,20,11,1,0.251564090842722,0.957
1000,1,12,1,0.842414184747041,0.984
1000,10,12,1,0.814366364546538,0.984
1000,20,12,1,0.788676442946184,0.992
10000,1,12,1,0.46341703097211,0.893
10000,10,12,1,0.437020999674352,0.941
10000,20,12,1,0.425832760843104,0.954
1e+05,1,12,1,0.258300494413685,0.711
1e+05,10,12,1,0.195138039136127,0.957
1e+05,20,12,1,0.194047288181974,0.966
20000,1,12,1,0.395286957766001,0.817
20000,10,12,1,0.359184711532446,0.912
20000,20,12,1,0.347732035949969,0.938
50000,1,12,1,0.284881667748341,0.795
50000,10,12,1,0.242017313249834,0.943
50000,20,12,1,0.236089416372701,0.957
1000,1,13,1,0.743253810620092,0.989
1000,10,13,1,0.757158124511323,0.993
1000,20,13,1,0.738861120289929,0.994
10000,1,13,1,0.432365669815919,0.917
10000,10,13,1,0.389854673947949,0.969
10000,20,13,1,0.383135772801007,0.974
1e+05,1,13,1,0.256989706827015,0.73
1e+05,10,13,1,0.20038852410955,0.938
1e+05,20,13,1,0.194728700696826,0.956
20000,1,13,1,0.38805482502422,0.861
20000,10,13,1,0.340772353728907,0.942
20000,20,13,1,0.338995927877169,0.944
50000,1,13,1,0.300897555703549,0.799
50000,10,13,1,0.251000853820197,0.935
50000,20,13,1,0.244660406017048,0.954
1000,1,14,1,0.748525398612368,0.994
1000,10,14,1,0.735345609831261,0.997
1000,20,14,1,0.740632169021425,0.995
10000,1,14,1,0.443810885366452,0.913
10000,10,14,1,0.414071643046041,0.956
10000,20,14,1,0.408909049561522,0.97
1e+05,1,14,1,0.25667145780642,0.722
1e+05,10,14,1,0.202730923193401,0.949
1e+05,20,14,1,0.195985382689494,0.962
20000,1,14,1,0.385545466754661,0.855
20000,10,14,1,0.327900161484852,0.952
20000,20,14,1,0.324438674537808,0.957
50000,1,14,1,0.30115338195617,0.808
50000,10,14,1,0.255717539946008,0.944
50000,20,14,1,0.247528362312648,0.959
1000,1,15,1,0.809646380003111,0.982
1000,10,15,1,0.792361741039876,0.987
1000,20,15,1,0.786139642512932,0.99
10000,1,15,1,0.432137312500127,0.927
10000,10,15,1,0.406269014333152,0.966
10000,20,15,1,0.397797748412648,0.968
1e+05,1,15,1,0.253077665599054,0.723
1e+05,10,15,1,0.195397400604965,0.951
1e+05,20,15,1,0.190473311598131,0.965
20000,1,15,1,0.378766044123483,0.867
20000,10,15,1,0.344261234139357,0.933
20000,20,15,1,0.335422749669,0.941
50000,1,15,1,0.305425028887018,0.749
50000,10,15,1,0.255123986800048,0.943
50000,20,15,1,0.250865678494462,0.956
1000,1,16,1,0.803402894927488,0.979
1000,10,16,1,0.774196744557335,0.989
1000,20,16,1,0.780279374933329,0.984
10000,1,16,1,0.469537506158273,0.902
10000,10,16,1,0.438683544923853,0.943
10000,20,16,1,0.430359176483131,0.961
1e+05,1,16,1,0.256513974590691,0.688
1e+05,10,16,1,0.209156101351025,0.928
1e+05,20,16,1,0.202370857820807,0.962
20000,1,16,1,0.388578350428352,0.85
20000,10,16,1,0.350793083295279,0.938
20000,20,16,1,0.352880283295779,0.946
50000,1,16,1,0.300169199698417,0.792
50000,10,16,1,0.241880144282363,0.934
50000,20,16,1,0.238640773994987,0.95
1000,1,17,1,0.74328212031772,0.991
1000,10,17,1,0.745388937526569,0.991
1000,20,17,1,0.74839545361355,0.991
10000,1,17,1,0.429861728489039,0.925
10000,10,17,1,0.386705114425456,0.972
10000,20,17,1,0.389326237917986,0.969
1e+05,1,17,1,0.260831205487857,0.686
1e+05,10,17,1,0.208791635533929,0.932
1e+05,20,17,1,0.2013088143873,0.96
20000,1,17,1,0.369345415228899,0.884
20000,10,17,1,0.329618544724941,0.953
20000,20,17,1,0.325728410266067,0.96
50000,1,17,1,0.294318726939498,0.784
50000,10,17,1,0.251006551078832,0.937
50000,20,17,1,0.240027366782424,0.964
1000,1,18,1,0.85012354313938,0.981
1000,10,18,1,0.818048755492878,0.987
1000,20,18,1,0.801157978113576,0.991
10000,1,18,1,0.447865211739993,0.912
10000,10,18,1,0.408575370268408,0.962
10000,20,18,1,0.404941742261044,0.968
1e+05,1,18,1,0.257921571132919,0.688
1e+05,10,18,1,0.209405527052435,0.913
1e+05,20,18,1,0.199800630227717,0.953
20000,1,18,1,0.366315591874259,0.863
20000,10,18,1,0.332178665910046,0.951
20000,20,18,1,0.325177994110105,0.963
50000,1,18,1,0.303043398473012,0.772
50000,10,18,1,0.248211073523167,0.943
50000,20,18,1,0.241048932444496,0.956
1000,1,19,1,0.840068589672602,0.986
1000,10,19,1,0.806239025869683,0.99
1000,20,19,1,0.787570452077854,0.99
10000,1,19,1,0.466127423437081,0.9
10000,10,19,1,0.420782369250676,0.958
10000,20,19,1,0.410387455254045,0.97
1e+05,1,19,1,0.253883755110184,0.741
1e+05,10,19,1,0.206723809949963,0.948
1e+05,20,19,1,0.206729220958715,0.959
20000,1,19,1,0.387630962975722,0.846
20000,10,19,1,0.331803352477654,0.947
