"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1000,1,1,1,0.227037054653534,0.921
1000,10,1,1,0.225868399485241,0.922
1000,20,1,1,0.227175539979069,0.92
10000,1,1,1,0.124263115282593,0.904
10000,10,1,1,0.113350831056972,0.952
10000,20,1,1,0.113651437086609,0.958
1e+05,1,1,1,0.0707730978524042,0.898
1e+05,10,1,1,0.0678539458150848,0.965
1e+05,20,1,1,0.0708379153546276,0.976
20000,1,1,1,0.0956036207357499,0.931
20000,10,1,1,0.0981924264609956,0.957
20000,20,1,1,0.0954889342740823,0.961
50000,1,1,1,0.0727920215894353,0.912
50000,10,1,1,0.0740729226249539,0.978
50000,20,1,1,0.0725411247155325,0.981
1000,1,10,1,0.198380437914381,0.927
1000,10,10,1,0.194822729453095,0.938
1000,20,10,1,0.194464324062891,0.942
10000,1,10,1,0.115996886596715,0.901
10000,10,10,1,0.111689187294545,0.962
10000,20,10,1,0.112899965150698,0.966
1e+05,1,10,1,0.0957280598957722,0.86
1e+05,10,10,1,0.0893164073530413,0.948
1e+05,20,10,1,0.0885414873398676,0.957
20000,1,10,1,0.122141529564907,0.892
20000,10,10,1,0.113150739160619,0.95
20000,20,10,1,0.112458121806672,0.957
50000,1,10,1,0.103215429398137,0.903
50000,10,10,1,0.103491607907394,0.942
50000,20,10,1,0.103278177566207,0.954
1000,1,100,1,0.198401549641161,0.921
1000,10,100,1,0.202793023743685,0.928
1000,20,100,1,0.203611315540403,0.928
10000,1,100,1,0.140395273593969,0.913
10000,10,100,1,0.140014079865521,0.943
10000,20,100,1,0.139954600738214,0.951
1e+05,1,100,1,0.0924882694985914,0.861
1e+05,10,100,1,0.0854965004061063,0.961
1e+05,20,100,1,0.0842181361505545,0.968
20000,1,100,1,0.109091323906161,0.907
20000,10,100,1,0.110077617548683,0.956
20000,20,100,1,0.108397598922284,0.962
50000,1,100,1,0.0853368117385084,0.887
50000,10,100,1,0.0913469648560479,0.953
50000,20,100,1,0.0908317632071791,0.955
1000,1,11,1,0.225888037403266,0.917
1000,10,11,1,0.229432324890602,0.914
1000,20,11,1,0.229764071395531,0.917
10000,1,11,1,0.131533797941473,0.921
10000,10,11,1,0.129985059601481,0.964
10000,20,11,1,0.128956260978742,0.966
1e+05,1,11,1,0.0731322335076263,0.859
