"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
100,1,1,1,20.5867343442118,0.688
100,2,1,1,20.5691819568023,0.691
100,5,1,1,20.5540081443044,0.683
1000,1,1,1,28.6239445093172,0.667
1000,2,1,1,28.6157515112768,0.673
1000,5,1,1,28.687353381214,0.673
10000,1,1,1,45.8637876413202,0.091
10000,2,1,1,45.7390144307132,0.099
10000,5,1,1,45.6834117663126,0.098
1e+05,1,1,1,18.2970339969944,0.091
1e+05,2,1,1,18.2292806567872,0.11
1e+05,5,1,1,18.2248499499902,0.128
20000,1,1,1,24.4712340191075,0.128
20000,2,1,1,24.429017584112,0.134
20000,5,1,1,24.472452072741,0.156
50000,1,1,1,29.1477515792182,0.045
50000,2,1,1,29.022901200489,0.06
50000,5,1,1,29.0497721102695,0.072
100,1,10,1,25.1523753177764,0.591
100,2,10,1,24.9953155610465,0.599
100,5,10,1,24.9807517896043,0.609
1000,1,10,1,15.4556895406187,0.629
1000,2,10,1,15.3668589419798,0.642
1000,5,10,1,15.4148007113166,0.638
10000,1,10,1,53.5540618241668,0.07
10000,2,10,1,53.7156304309221,0.073
10000,5,10,1,53.4131257794602,0.074
1e+05,1,10,1,29.777935491258,0.107
1e+05,2,10,1,29.7021166646431,0.115
1e+05,5,10,1,29.6609070188651,0.133
20000,1,10,1,35.6436694499089,0.031
20000,2,10,1,35.6363099970211,0.035
20000,5,10,1,35.5678300121853,0.04
50000,1,10,1,21.1106670269279,0.12
50000,2,10,1,21.1302786921544,0.12
50000,5,10,1,21.0985776619343,0.136
100,1,100,1,26.1140668053603,0.697
100,2,100,1,26.1634831426217,0.688
100,5,100,1,26.0353154987102,0.701
1000,1,100,1,16.4193982298253,0.618
1000,2,100,1,16.452165700397,0.613
1000,5,100,1,16.3892041213274,0.628
10000,1,100,1,38.3669774119349,0.1
10000,2,100,1,38.3297825376825,0.109
10000,5,100,1,38.3511529482238,0.112
1e+05,1,100,1,32.5330806864597,0.044
1e+05,2,100,1,32.4761200907034,0.053
1e+05,5,100,1,32.4683826601418,0.059
20000,1,100,1,29.3922448076408,0.128
20000,2,100,1,29.502001293505,0.129
20000,5,100,1,29.4146143225731,0.14
50000,1,100,1,36.7772856539039,0.048
50000,2,100,1,36.6555677356489,0.05
50000,5,100,1,36.6659094337746,0.046
100,1,11,1,29.4824639345583,0.462
100,2,11,1,29.4344935729541,0.464
100,5,11,1,29.4063618205916,0.457
1000,1,11,1,27.7679865714114,0.299
1000,2,11,1,27.9987475781537,0.295
1000,5,11,1,27.7662556873008,0.296
10000,1,11,1,27.5910843794682,0.258
10000,2,11,1,27.6029557677491,0.264
10000,5,11,1,27.5241458710694,0.264
1e+05,1,11,1,37.3857050201304,0.032
1e+05,2,11,1,37.3797560518703,0.043
