"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
100,1,1,1,1.32421882777301,0.998
100,2,1,1,1.35199792934557,0.998
100,5,1,1,1.3500153844845,0.996
1000,1,1,1,0.826081733515728,0.98
1000,2,1,1,0.866791104056476,0.972
1000,5,1,1,0.811944009072755,0.987
10000,1,1,1,0.436069554974968,0.926
10000,2,1,1,0.408460404011311,0.955
10000,5,1,1,0.385272225446903,0.969
1e+05,1,1,1,0.242009272647715,0.728
1e+05,2,1,1,0.219464361576161,0.827
1e+05,5,1,1,0.205014308382414,0.898
20000,1,1,1,0.401844754441909,0.824
20000,2,1,1,0.38096524921693,0.863
20000,5,1,1,0.360188738382169,0.908
50000,1,1,1,0.304504070056023,0.794
50000,2,1,1,0.283956017432309,0.832
50000,5,1,1,0.262980674986863,0.919
100,1,10,1,1.39633758748814,0.988
100,2,10,1,1.37603795589344,0.99
100,5,10,1,1.38453695185579,0.99
1000,1,10,1,0.75789198757809,0.993
1000,2,10,1,0.76275781509945,0.998
1000,5,10,1,0.77478801488446,0.995
10000,1,10,1,0.432428531694526,0.927
10000,2,10,1,0.423524100485908,0.937
10000,5,10,1,0.401818760248222,0.961
1e+05,1,10,1,0.265981133523404,0.69
1e+05,2,10,1,0.243092548065754,0.78
1e+05,5,10,1,0.212525445091068,0.894
20000,1,10,1,0.380436125368638,0.861
20000,2,10,1,0.360810645775241,0.888
20000,5,10,1,0.344403651763211,0.925
50000,1,10,1,0.311457706008575,0.76
50000,2,10,1,0.303968821240347,0.785
50000,5,10,1,0.277526514709249,0.881
100,1,100,1,1.50869191626063,0.994
100,2,100,1,1.50624979107613,0.991
100,5,100,1,1.52482591369794,0.991
1000,1,100,1,0.859571332247531,0.971
1000,2,100,1,0.883581545513218,0.976
1000,5,100,1,0.849939617444717,0.977
10000,1,100,1,0.477614315572076,0.881
10000,2,100,1,0.474194020406771,0.893
10000,5,100,1,0.439047636416823,0.932
1e+05,1,100,1,0.254166757053395,0.736
1e+05,2,100,1,0.230321599871499,0.811
1e+05,5,100,1,0.215204213363262,0.892
20000,1,100,1,0.375182070302783,0.856
20000,2,100,1,0.373643276256425,0.872
20000,5,100,1,0.360714355990873,0.9
50000,1,100,1,0.306549915080527,0.759
50000,2,100,1,0.282259726221317,0.843
50000,5,100,1,0.261169908626072,0.898
100,1,11,1,2.08586756676827,0.843
100,2,11,1,2.0970143199653,0.845
100,5,11,1,2.09071495013053,0.845
1000,1,11,1,0.849905709045442,0.989
1000,2,11,1,0.848510657986057,0.988
1000,5,11,1,0.790499821429817,0.989
10000,1,11,1,0.437237824631713,0.933
10000,2,11,1,0.43111339707842,0.942
10000,5,11,1,0.40096354325911,0.965
1e+05,1,11,1,0.260637032657676,0.708
1e+05,2,11,1,0.233243102796557,0.83
1e+05,5,11,1,0.205395220965983,0.92
20000,1,11,1,0.383952017900506,0.858
20000,2,11,1,0.375781199526067,0.871
20000,5,11,1,0.358236845912928,0.915
50000,1,11,1,0.309221129123333,0.774
50000,2,11,1,0.286918126091404,0.851
50000,5,11,1,0.270742107729879,0.897
100,1,12,1,1.42585517335876,0.98
100,2,12,1,1.44832886084372,0.981
100,5,12,1,1.43818245591926,0.98
1000,1,12,1,0.842414184747041,0.984
1000,2,12,1,0.815488631061045,0.981
1000,5,12,1,0.80756097404933,0.988
10000,1,12,1,0.46341703097211,0.893
