"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1000,1,1,1,0.227037054653534,0.921
1000,2,1,1,0.230777706941078,0.914
1000,5,1,1,0.226710546751613,0.919
10000,1,1,1,0.124263115282593,0.904
10000,2,1,1,0.119179675375863,0.918
10000,5,1,1,0.11465099198647,0.944
1e+05,1,1,1,0.0707730978524042,0.898
1e+05,2,1,1,0.0653912572153601,0.929
1e+05,5,1,1,0.0681342442923078,0.957
20000,1,1,1,0.0956036207357499,0.931
20000,2,1,1,0.0961740497417304,0.947
20000,5,1,1,0.0977809486751932,0.947
50000,1,1,1,0.0727920215894353,0.912
50000,2,1,1,0.0645494360113032,0.952
50000,5,1,1,0.0749400855527263,0.973
1000,1,10,1,0.198380437914381,0.927
1000,2,10,1,0.194078584302719,0.938
1000,5,10,1,0.194555419811824,0.938
10000,1,10,1,0.115996886596715,0.901
10000,2,10,1,0.113272750300884,0.929
10000,5,10,1,0.11119490718973,0.956
1e+05,1,10,1,0.0957280598957722,0.86
1e+05,2,10,1,0.0919987775501938,0.91
1e+05,5,10,1,0.0903700396180298,0.938
20000,1,10,1,0.122141529564907,0.892
20000,2,10,1,0.113894330865895,0.93
20000,5,10,1,0.111829052649323,0.942
50000,1,10,1,0.103215429398137,0.903
50000,2,10,1,0.103154242055469,0.904
50000,5,10,1,0.103582972171373,0.936
1000,1,100,1,0.198401549641161,0.921
1000,2,100,1,0.208481921031786,0.928
1000,5,100,1,0.201364840222881,0.927
10000,1,100,1,0.140395273593969,0.913
10000,2,100,1,0.145598633415978,0.927
10000,5,100,1,0.14186516369943,0.931
1e+05,1,100,1,0.0924882694985914,0.861
1e+05,2,100,1,0.0842114294595198,0.924
1e+05,5,100,1,0.0879494781918405,0.944
20000,1,100,1,0.109091323906161,0.907
20000,2,100,1,0.111650449910402,0.926
20000,5,100,1,0.109462477677384,0.948
1000,1,11,1,0.225888037403266,0.917
1000,2,11,1,0.229194385635543,0.915
1000,5,11,1,0.229436005762438,0.914
10000,1,11,1,0.131533797941473,0.921
10000,2,11,1,0.140525543461826,0.924
10000,5,11,1,0.133783847535884,0.954
1e+05,1,11,1,0.0731322335076263,0.859
1e+05,2,11,1,0.0727779988693401,0.919
1e+05,5,11,1,0.0700118560162128,0.955
20000,1,11,1,0.116945010218042,0.906
