"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
100,1,1,1,0.940039934051776,0.962
100,2,1,1,0.954347544737802,0.958
100,5,1,1,0.960185733224036,0.959
1000,1,1,1,0.421255543476085,0.991
1000,2,1,1,0.433154859708639,0.994
1000,5,1,1,0.414156488556819,0.997
10000,1,1,1,0.183091128845304,0.973
10000,2,1,1,0.160773291499156,0.992
10000,5,1,1,0.146395125828813,0.999
1e+05,1,1,1,0.0751182770634764,0.883
1e+05,2,1,1,0.06416528042758,0.957
1e+05,5,1,1,0.0551590634217146,0.99
20000,1,1,1,0.13127762835975,0.974
20000,2,1,1,0.12581518014983,0.979
20000,5,1,1,0.104086410884983,0.996
50000,1,1,1,0.0916061918494063,0.925
50000,2,1,1,0.0818129879783591,0.973
50000,5,1,1,0.0693974241984098,0.996
100,1,10,1,1.05176506556599,0.934
100,2,10,1,1.03499156009067,0.945
100,5,10,1,1.03714803056069,0.938
1000,1,10,1,0.40341841414237,0.997
1000,2,10,1,0.388869199768094,0.995
1000,5,10,1,0.398331994476519,0.996
10000,1,10,1,0.194083040833536,0.969
10000,2,10,1,0.163132089155141,0.989
10000,5,10,1,0.154577546559138,0.998
1e+05,1,10,1,0.0731602886746753,0.898
1e+05,2,10,1,0.0614615991047964,0.966
1e+05,5,10,1,0.0543711742733705,0.992
20000,1,10,1,0.138609512830033,0.958
20000,2,10,1,0.12051366251627,0.987
20000,5,10,1,0.109711372063595,0.994
50000,1,10,1,0.0966856744564286,0.933
50000,2,10,1,0.0925002128606491,0.954
50000,5,10,1,0.0790876571071716,0.991
100,1,100,1,0.90080983818373,0.98
100,2,100,1,0.917581895526855,0.974
100,5,100,1,0.902834698774353,0.977
1000,1,100,1,0.406710960986693,0.995
1000,2,100,1,0.380416808967734,0.998
1000,5,100,1,0.357884008049144,1
10000,1,100,1,0.190123484049919,0.978
10000,2,100,1,0.171407951201771,0.992
10000,5,100,1,0.159071697779838,0.995
1e+05,1,100,1,0.0763313106385252,0.889
1e+05,2,100,1,0.0665871319608822,0.943
1e+05,5,100,1,0.0553285691338054,0.991
20000,1,100,1,0.137401751950349,0.965
20000,2,100,1,0.116314729324815,0.991
20000,5,100,1,0.105590147516096,0.994
50000,1,100,1,0.10049089392422,0.915
50000,2,100,1,0.0826479720599525,0.974
50000,5,100,1,0.0722273474026653,0.994
100,1,11,1,0.905808328838528,0.929
100,2,11,1,0.912782175058102,0.924
100,5,11,1,0.904261508231287,0.924
1000,1,11,1,0.363698482964342,1
1000,2,11,1,0.361562740440082,0.998
1000,5,11,1,0.354343926500108,0.999
10000,1,11,1,0.210351336771249,0.953
10000,2,11,1,0.174865124271019,0.989
10000,5,11,1,0.161493982298444,0.995
1e+05,1,11,1,0.0762082305359902,0.871
1e+05,2,11,1,0.0679557119899283,0.93
1e+05,5,11,1,0.0573125495406564,0.976
20000,1,11,1,0.15347645981586,0.951
20000,2,11,1,0.130628741075022,0.986
