"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1000,1,1,1,0.302450930965453,0.997
1000,10,1,1,0.294845435890094,0.997
1000,20,1,1,0.281923214466517,0.997
10000,1,1,1,0.177917039876185,0.955
10000,10,1,1,0.16281141715883,0.988
10000,20,1,1,0.159991544984174,0.988
1e+05,1,1,1,0.0683122792718805,0.887
1e+05,10,1,1,0.0480390625606615,0.995
1e+05,20,1,1,0.0465437959799562,0.996
20000,1,1,1,0.125845367490487,0.956
20000,10,1,1,0.105077275005395,0.989
20000,20,1,1,0.102287884038655,0.989
50000,1,1,1,0.0839607047761649,0.935
50000,10,1,1,0.0689940222943775,0.991
50000,20,1,1,0.0668579185580902,0.996
1000,1,10,1,0.333799857632973,0.991
1000,10,10,1,0.323334062785233,0.993
1000,20,10,1,0.322300427644663,0.993
10000,1,10,1,0.15711702757798,0.984
10000,10,10,1,0.140694219842733,0.996
10000,20,10,1,0.137841984077432,0.996
1e+05,1,10,1,0.0620528424087736,0.92
1e+05,10,10,1,0.0509930169096852,0.987
1e+05,20,10,1,0.0497932650609407,0.984
20000,1,10,1,0.122231553998041,0.964
20000,10,10,1,0.106530703578024,0.99
20000,20,10,1,0.104086207486006,0.993
50000,1,10,1,0.0821962365082533,0.943
50000,10,10,1,0.0675112168120357,0.985
50000,20,10,1,0.0658939657954633,0.991
1000,1,100,1,0.343090847134092,0.995
1000,10,100,1,0.344026381701713,0.996
1000,20,100,1,0.344847245458534,0.996
10000,1,100,1,0.151902493853053,0.985
10000,10,100,1,0.138317783477374,0.999
10000,20,100,1,0.133213741598039,0.997
1e+05,1,100,1,0.0707236828477885,0.857
1e+05,10,100,1,0.0522456167785216,0.984
1e+05,20,100,1,0.0505432737698333,0.992
20000,1,100,1,0.122098533559081,0.969
20000,10,100,1,0.109365691641868,0.994
20000,20,100,1,0.106153446010559,0.995
50000,1,100,1,0.0822117372209603,0.942
50000,10,100,1,0.0671714046347543,0.987
50000,20,100,1,0.0655890721796641,0.994
1000,1,11,1,0.298545416447524,0.996
1000,10,11,1,0.284104343366742,0.995
1000,20,11,1,0.280214065603744,0.998
10000,1,11,1,0.165125041740099,0.967
10000,10,11,1,0.146620837566768,0.989
10000,20,11,1,0.142808703147616,0.994
1e+05,1,11,1,0.0634580912136314,0.919
1e+05,10,11,1,0.0512069219902756,0.985
1e+05,20,11,1,0.0491817832112541,0.993
20000,1,11,1,0.147384412093761,0.941
20000,10,11,1,0.121098472635648,0.989
20000,20,11,1,0.118882227608655,0.99
50000,1,11,1,0.0859803290523909,0.923
50000,10,11,1,0.0676971324576038,0.993
50000,20,11,1,0.0657093003188834,0.996
1000,1,12,1,0.291739053054979,1
1000,10,12,1,0.284749638607276,1
1000,20,12,1,0.28448184735532,0.998
10000,1,12,1,0.16646639335214,0.97
10000,10,12,1,0.143422734994884,0.996
10000,20,12,1,0.146117568602398,0.991
1e+05,1,12,1,0.0645014495427292,0.907
1e+05,10,12,1,0.0512556168782362,0.987
1e+05,20,12,1,0.0491074892831823,0.994
20000,1,12,1,0.143017430196549,0.938
20000,10,12,1,0.116371152462818,0.984
20000,20,12,1,0.1162057190769,0.989
50000,1,12,1,0.0894531984073418,0.923
50000,10,12,1,0.0695499194313047,0.989
50000,20,12,1,0.0674360429805217,0.992
1000,1,13,1,0.298269550313791,1
1000,10,13,1,0.293436162159815,1
1000,20,13,1,0.286653812686916,1
10000,1,13,1,0.159241737452253,0.969
10000,10,13,1,0.138992887360406,0.992
10000,20,13,1,0.135413074879535,0.994
1e+05,1,13,1,0.0634007709906314,0.919
1e+05,10,13,1,0.0497918563887481,0.988
1e+05,20,13,1,0.048746992942375,0.991
20000,1,13,1,0.127443744656124,0.946
20000,10,13,1,0.107969797657837,0.987
20000,20,13,1,0.10531599690951,0.992
50000,1,13,1,0.0832995466616564,0.938
50000,10,13,1,0.0705250494609182,0.985
50000,20,13,1,0.0674594260269851,0.993
1000,1,14,1,0.360749417995886,0.994
1000,10,14,1,0.347896102302857,0.999
1000,20,14,1,0.350416403327179,0.998
10000,1,14,1,0.175671191457895,0.967
10000,10,14,1,0.156216253824347,0.991
10000,20,14,1,0.153719654191001,0.99
1e+05,1,14,1,0.0680455949978181,0.889
1e+05,10,14,1,0.0517371321946067,0.987
1e+05,20,14,1,0.0494378451126857,0.994
20000,1,14,1,0.122738034587026,0.952
20000,10,14,1,0.102730127804597,0.995
20000,20,14,1,0.10061571406104,0.995
50000,1,14,1,0.0894899548196826,0.92
50000,10,14,1,0.0753013490371068,0.975
50000,20,14,1,0.0713230505627393,0.988
1000,1,15,1,0.323842501878557,0.997
1000,10,15,1,0.3172756878361,0.997
1000,20,15,1,0.303631616975909,0.997
10000,1,15,1,0.153447634496993,0.985
