"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
100,1,1,1,0.803449178773019,0.944
100,2,1,1,0.811234836332032,0.942
100,5,1,1,0.80965400337308,0.941
1000,1,1,1,0.302450930965453,0.997
1000,2,1,1,0.29645480006205,0.999
1000,5,1,1,0.292423649943924,0.999
10000,1,1,1,0.177917039876185,0.955
10000,2,1,1,0.170025188055144,0.974
10000,5,1,1,0.165161765987854,0.977
1e+05,1,1,1,0.0683122792718805,0.887
1e+05,2,1,1,0.0570283972432539,0.966
1e+05,5,1,1,0.05190886938667,0.984
20000,1,1,1,0.125845367490487,0.956
20000,2,1,1,0.108092728651838,0.988
20000,5,1,1,0.108850964495517,0.992
50000,1,1,1,0.0839607047761649,0.935
50000,2,1,1,0.0759117952691542,0.972
50000,5,1,1,0.0745447616713781,0.985
100,1,10,1,0.902791112298312,0.907
100,2,10,1,0.894859467247493,0.91
100,5,10,1,0.904827802083191,0.912
1000,1,10,1,0.333799857632973,0.991
1000,2,10,1,0.326361091821624,0.994
1000,5,10,1,0.32920932573045,0.993
10000,1,10,1,0.15711702757798,0.984
10000,2,10,1,0.149501359422651,0.989
10000,5,10,1,0.142332837053497,0.996
1e+05,1,10,1,0.0620528424087736,0.92
1e+05,2,10,1,0.0575952766042173,0.953
1e+05,5,10,1,0.0537984558250886,0.982
20000,1,10,1,0.122231553998041,0.964
20000,2,10,1,0.112089037096281,0.981
20000,5,10,1,0.109518094503217,0.984
50000,1,10,1,0.0821962365082533,0.943
50000,2,10,1,0.0775690032407808,0.958
50000,5,10,1,0.0707815593211331,0.979
100,1,100,1,0.796314708373999,0.953
100,2,100,1,0.786505116274784,0.954
100,5,100,1,0.7723360825403,0.966
1000,1,100,1,0.343090847134092,0.995
1000,2,100,1,0.348324156216077,0.996
1000,5,100,1,0.340830135617141,0.997
10000,1,100,1,0.151902493853053,0.985
10000,2,100,1,0.145277459173305,0.987
10000,5,100,1,0.131444677657217,0.996
1e+05,1,100,1,0.0707236828477885,0.857
1e+05,2,100,1,0.062605528545315,0.943
1e+05,5,100,1,0.0559965089999514,0.975
20000,1,100,1,0.122098533559081,0.969
20000,2,100,1,0.116745260538882,0.982
20000,5,100,1,0.110719287220816,0.993
50000,1,100,1,0.0822117372209603,0.942
50000,2,100,1,0.0794841154479791,0.968
50000,5,100,1,0.0733983706710093,0.983
100,1,11,1,0.788609850690981,0.979
100,2,11,1,0.782657669311389,0.978
100,5,11,1,0.769373258978996,0.979
1000,1,11,1,0.298545416447524,0.996
1000,2,11,1,0.28898079542865,0.995
1000,5,11,1,0.283200025182746,0.996
10000,1,11,1,0.165125041740099,0.967
10000,2,11,1,0.16096923868951,0.975
10000,5,11,1,0.151570573054107,0.984
1e+05,1,11,1,0.0634580912136314,0.919
1e+05,2,11,1,0.0611514336640207,0.924
1e+05,5,11,1,0.0535444933581159,0.967
20000,1,11,1,0.147384412093761,0.941
20000,2,11,1,0.130705967735277,0.968
20000,5,11,1,0.121351490582539,0.983
50000,1,11,1,0.0859803290523909,0.923
50000,2,11,1,0.0782372652374447,0.961
50000,5,11,1,0.0723033229790947,0.981
100,1,12,1,0.825934464630782,0.914
100,2,12,1,0.84151010148079,0.908
100,5,12,1,0.835820024247652,0.911
1000,1,12,1,0.291739053054979,1
1000,2,12,1,0.295859487257733,0.998
1000,5,12,1,0.293648816546819,0.998
10000,1,12,1,0.16646639335214,0.97
10000,2,12,1,0.155820323522887,0.987
10000,5,12,1,0.149878796105159,0.986
1e+05,1,12,1,0.0645014495427292,0.907
1e+05,2,12,1,0.0572389876149453,0.962
1e+05,5,12,1,0.0529167259526285,0.986
20000,1,12,1,0.143017430196549,0.938
20000,2,12,1,0.131293522713724,0.97
20000,5,12,1,0.116184295099116,0.985
50000,1,12,1,0.0894531984073418,0.923
50000,2,12,1,0.0766184537241672,0.967
50000,5,12,1,0.0713244536027105,0.984
100,1,13,1,0.723922475619736,0.979
100,2,13,1,0.733611463644508,0.97
100,5,13,1,0.731900735982496,0.978
1000,1,13,1,0.298269550313791,1
1000,2,13,1,0.305285592027595,0.998
1000,5,13,1,0.293481309055747,0.999
10000,1,13,1,0.159241737452253,0.969
10000,2,13,1,0.150210147529547,0.988
10000,5,13,1,0.140889582765633,0.993
1e+05,1,13,1,0.0634007709906314,0.919
1e+05,2,13,1,0.0570290586698368,0.949
1e+05,5,13,1,0.0527819067480583,0.982
20000,1,13,1,0.127443744656124,0.946
20000,2,13,1,0.121508003658251,0.967
20000,5,13,1,0.109520010381883,0.985
50000,1,13,1,0.0832995466616564,0.938
50000,2,13,1,0.076136280192936,0.968
50000,5,13,1,0.0739932835691113,0.979
100,1,14,1,0.787995467256321,0.965
100,2,14,1,0.803150292802999,0.966
100,5,14,1,0.787998246704849,0.964
1000,1,14,1,0.360749417995886,0.994
1000,2,14,1,0.350336188680202,0.996
1000,5,14,1,0.35377737974764,0.997
10000,1,14,1,0.175671191457895,0.967
10000,2,14,1,0.170291926901023,0.978
10000,5,14,1,0.164582228420085,0.98
1e+05,1,14,1,0.0680455949978181,0.889
1e+05,2,14,1,0.0622895213250091,0.933
1e+05,5,14,1,0.05376616094238,0.981
20000,1,14,1,0.122738034587026,0.952
20000,2,14,1,0.114336892598881,0.976
20000,5,14,1,0.106605998099613,0.994
50000,1,14,1,0.0894899548196826,0.92
50000,2,14,1,0.0778184876998809,0.961
50000,5,14,1,0.0780099477526947,0.959
100,1,15,1,0.762427372504956,0.977
100,2,15,1,0.775456563498414,0.975
100,5,15,1,0.764199006899466,0.979
1000,1,15,1,0.323842501878557,0.997
1000,2,15,1,0.309597912649542,0.999
