"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1,1,1,1,2.31712899049682,0.607655502392344
1,2,1,1,2.33049785746198,0.604465709728868
1,5,1,1,2.31475548547453,0.606060606060606
10,1,1,1,2.17915339621234,0.425837320574163
10,2,1,1,2.15710741004579,0.448165869218501
10,5,1,1,2.15527692408496,0.464114832535885
2,1,1,1,2.27581286348261,0.625199362041467
2,2,1,1,2.27199756825046,0.609250398724083
2,5,1,1,2.2678097406079,0.607655502392344
5,1,1,1,2.19659558711275,0.503987240829346
5,2,1,1,2.18713705343333,0.516746411483254
5,5,1,1,2.19601376777138,0.499202551834131
1,1,10,1,2.33823438661271,0.671451355661882
1,2,10,1,2.33800240735141,0.668261562998405
1,5,10,1,2.33901059872193,0.658692185007974
10,1,10,1,2.16453398826257,0.456140350877193
10,2,10,1,2.15690043404815,0.460925039872408
10,5,10,1,2.16241901305552,0.451355661881978
2,1,10,1,2.28967786633153,0.590111642743222
2,2,10,1,2.28784378203217,0.598086124401914
2,5,10,1,2.29190664229336,0.594896331738437
5,1,10,1,2.21304144075322,0.4896331738437
5,2,10,1,2.21998281355333,0.511961722488038
5,5,10,1,2.21040276903683,0.5103668261563
1,1,100,1,2.26866849990073,0.722488038277512
1,2,100,1,2.26984899910896,0.72408293460925
1,5,100,1,2.27312372231976,0.712918660287081
10,1,100,1,2.15632689548594,0.427432216905901
10,2,100,1,2.14767312706272,0.443381180223285
10,5,100,1,2.15582875701459,0.43859649122807
2,1,100,1,2.28218351476231,0.650717703349282
2,2,100,1,2.26434536833819,0.639553429027113
2,5,100,1,2.27704832609869,0.637958532695375
5,1,100,1,2.2490030967662,0.494417862838915
5,2,100,1,2.23233469825469,0.505582137161085
5,5,100,1,2.23464528399139,0.516746411483254
1,1,11,1,2.31351045424166,0.610845295055821
1,2,11,1,2.31370865336169,0.61244019138756
1,5,11,1,2.31933729425762,0.606060606060606
10,1,11,1,2.15028995681371,0.425837320574163
10,2,11,1,2.16701268904667,0.432216905901116
10,5,11,1,2.16354722312424,0.462519936204147
2,1,11,1,2.27126284215596,0.57097288676236
2,2,11,1,2.26592826147641,0.559808612440191
2,5,11,1,2.26262541159636,0.577352472089314
5,1,11,1,2.2064712546657,0.513556618819777
5,2,11,1,2.18805978937646,0.515151515151515
5,5,11,1,2.1963635196925,0.515151515151515
1,1,12,1,2.37307118161094,0.623604465709729
1,2,12,1,2.37736157738385,0.617224880382775
1,5,12,1,2.38121770385188,0.614035087719298
10,1,12,1,2.16992338426505,0.441786283891547
10,2,12,1,2.17564229661943,0.425837320574163
10,5,12,1,2.14695581611774,0.456140350877193
2,1,12,1,2.31155017995026,0.572567783094099
2,2,12,1,2.30349655507713,0.580542264752791
2,5,12,1,2.30301077043156,0.566188197767145
5,1,12,1,2.2403388147988,0.486443381180223
5,2,12,1,2.23431089254644,0.505582137161085
5,5,12,1,2.23732599346744,0.507177033492823
1,1,13,1,2.3209387522933,0.660287081339713
1,2,13,1,2.32370335202679,0.665071770334928
1,5,13,1,2.31248859918786,0.660287081339713
10,1,13,1,2.16682505419854,0.41786283891547
10,2,13,1,2.14768587494549,0.451355661881978
10,5,13,1,2.16554893563996,0.464114832535885
2,1,13,1,2.2643953349478,0.617224880382775
2,2,13,1,2.26150833685946,0.615629984051037
2,5,13,1,2.25874765069287,0.614035087719298
5,1,13,1,2.19052064074368,0.559808612440191
5,2,13,1,2.17809164950485,0.539074960127592
5,5,13,1,2.18133841303309,0.551834130781499
1,1,14,1,2.37637415213252,0.599681020733652
1,2,14,1,2.36707962006361,0.601275917065391
1,5,14,1,2.37144033952812,0.596491228070175
10,1,14,1,2.1718983868077,0.427432216905901
10,2,14,1,2.1590556084768,0.437001594896332
10,5,14,1,2.14987829026739,0.464114832535885
2,1,14,1,2.29895633248476,0.64274322169059
2,2,14,1,2.29041932542467,0.644338118022329
2,5,14,1,2.30561024353458,0.64274322169059
5,1,14,1,2.20079452519739,0.526315789473684
5,2,14,1,2.20559126803274,0.54066985645933
5,5,14,1,2.18787682182786,0.545454545454545
1,1,15,1,2.3675460802776,0.658692185007974
1,2,15,1,2.3657545036934,0.657097288676236
1,5,15,1,2.37151563496189,0.657097288676236
10,1,15,1,2.17225460864234,0.422647527910686
10,2,15,1,2.15312720308752,0.42902711323764
10,5,15,1,2.14710580832558,0.446570972886762
2,1,15,1,2.27064223357211,0.602870813397129
2,2,15,1,2.26735180510334,0.615629984051037
2,5,15,1,2.27438669564136,0.626794258373206
5,1,15,1,2.25037186493121,0.48006379585327
