"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1,1,1,1,63.4193628567666,0.575757575757576
1,2,1,1,63.8141632092749,0.575757575757576
1,5,1,1,63.2878918250275,0.590909090909091
10,1,1,1,53.3083812686916,0.515151515151515
10,2,1,1,53.492180774824,0.5
10,5,1,1,53.3424138386653,0.515151515151515
2,1,1,1,57.331326202551,0.651515151515151
2,2,1,1,57.3031148342329,0.636363636363636
2,5,1,1,57.5019274656546,0.636363636363636
5,1,1,1,52.6635688111593,0.621212121212121
5,2,1,1,52.6303151521904,0.621212121212121
5,5,1,1,52.310553030728,0.636363636363636
1,1,10,1,64.5609810838748,0.651515151515151
1,2,10,1,64.3143802464355,0.636363636363636
1,5,10,1,64.463138930515,0.636363636363636
10,1,10,1,53.3956314649801,0.484848484848485
10,2,10,1,53.5700702710751,0.5
10,5,10,1,53.2910954611797,0.484848484848485
2,1,10,1,61.992214538284,0.606060606060606
2,2,10,1,61.9504088581246,0.560606060606061
2,5,10,1,62.1994883230427,0.590909090909091
5,1,10,1,58.267850724888,0.515151515151515
5,2,10,1,58.1444505954518,0.515151515151515
5,5,10,1,58.109014689955,0.53030303030303
1,1,100,1,62.7654736981519,0.575757575757576
1,2,100,1,62.9658385186175,0.590909090909091
1,5,100,1,62.7093904869573,0.590909090909091
10,1,100,1,53.421274008745,0.5
10,2,100,1,53.2184311950042,0.5
10,5,100,1,53.5296554394604,0.484848484848485
2,1,100,1,55.8667187568785,0.575757575757576
2,2,100,1,55.9176025795057,0.545454545454545
2,5,100,1,56.1277449215338,0.575757575757576
5,1,100,1,52.5262270114051,0.590909090909091
5,2,100,1,52.3774558921444,0.606060606060606
5,5,100,1,52.6524167049363,0.606060606060606
1,1,11,1,63.0666777320261,0.681818181818182
1,2,11,1,63.6329949851087,0.651515151515151
1,5,11,1,63.4379510940432,0.666666666666667
10,1,11,1,53.509196563379,0.515151515151515
10,2,11,1,53.3727354923125,0.515151515151515
10,5,11,1,53.2082958669144,0.5
2,1,11,1,55.6845809770932,0.636363636363636
2,2,11,1,55.9089127467394,0.621212121212121
2,5,11,1,55.7897203673351,0.606060606060606
5,1,11,1,53.1097551605423,0.560606060606061
5,2,11,1,53.0956155411986,0.545454545454545
5,5,11,1,52.9302497012518,0.545454545454545
1,1,12,1,56.0005897058993,0.742424242424242
1,2,12,1,56.1320153871472,0.742424242424242
1,5,12,1,56.0654954000025,0.742424242424242
10,1,12,1,53.425464347132,0.5
10,2,12,1,53.5236657398654,0.484848484848485
10,5,12,1,53.4088925573482,0.515151515151515
2,1,12,1,54.6212182569353,0.681818181818182
2,2,12,1,54.3868556397991,0.681818181818182
2,5,12,1,54.5227464825643,0.696969696969697
5,1,12,1,54.6016306391804,0.515151515151515
5,2,12,1,54.5251610314725,0.545454545454545
5,5,12,1,54.6650015947198,0.545454545454545
1,1,13,1,64.0699672783655,0.621212121212121
1,2,13,1,64.0429020066195,0.621212121212121
1,5,13,1,63.830968070315,0.651515151515151
10,1,13,1,53.7926327147059,0.5
10,2,13,1,53.1830884009618,0.5
10,5,13,1,53.6941185750949,0.515151515151515
2,1,13,1,58.3952047550395,0.621212121212121
2,2,13,1,58.4344385624738,0.621212121212121
2,5,13,1,58.4251858436054,0.606060606060606
5,1,13,1,54.2221680044237,0.560606060606061
5,2,13,1,54.303363816063,0.515151515151515
5,5,13,1,53.9876952767917,0.545454545454545
1,1,14,1,59.4744524330617,0.606060606060606
1,2,14,1,58.8147799280076,0.606060606060606
1,5,14,1,58.9357087448999,0.606060606060606
10,1,14,1,53.6868721661257,0.5
10,2,14,1,53.4171627370282,0.515151515151515
10,5,14,1,53.62050609377,0.515151515151515
2,1,14,1,54.9699005968097,0.590909090909091
2,2,14,1,55.218878987276,0.575757575757576
2,5,14,1,55.0558085665131,0.575757575757576
5,1,14,1,52.499810496455,0.606060606060606
5,2,14,1,52.7982066770164,0.575757575757576
