"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1,1,1,1,11.8796598579661,0.38452743902439
1,2,1,1,11.8736646262509,0.383003048780488
1,5,1,1,11.869098633822,0.380335365853659
10,1,1,1,11.4738036321022,0.214557926829268
10,2,1,1,11.4644089484178,0.234756097560976
10,5,1,1,11.4798670843955,0.259908536585366
2,1,1,1,11.7596740565602,0.342987804878049
2,2,1,1,11.7826609314402,0.339176829268293
2,5,1,1,11.7813418808545,0.346417682926829
5,1,1,1,11.6452531483795,0.267149390243902
5,2,1,1,11.5933706069859,0.273246951219512
5,5,1,1,11.6248061470126,0.283155487804878
1,1,10,1,11.8899318913288,0.387576219512195
1,2,10,1,11.8959734764202,0.385289634146341
1,5,10,1,11.8857296293098,0.391387195121951
10,1,10,1,11.4942346492783,0.208841463414634
10,2,10,1,11.4757471244263,0.227515243902439
10,5,10,1,11.4605368987307,0.253810975609756
2,1,10,1,11.7440220893195,0.341082317073171
2,2,10,1,11.7370296728854,0.34375
2,5,10,1,11.7437696450088,0.341463414634146
5,1,10,1,11.5621978583546,0.249618902439024
5,2,10,1,11.5768436007146,0.262957317073171
5,5,10,1,11.574435441566,0.273246951219512
1,1,100,1,11.9377204544925,0.373475609756098
1,2,100,1,11.9420151465864,0.375762195121951
1,5,100,1,11.9524834009195,0.375
10,1,100,1,11.4741350438045,0.228658536585366
10,2,100,1,11.4562284851817,0.239329268292683
10,5,100,1,11.464140844822,0.256478658536585
2,1,100,1,11.82896112669,0.326219512195122
2,2,100,1,11.8220006310214,0.327743902439024
2,5,100,1,11.8495011364764,0.323932926829268
5,1,100,1,11.6571850391491,0.270198170731707
5,2,100,1,11.6436413437457,0.277057926829268
5,5,100,1,11.6258130188362,0.297256097560976
1,1,11,1,11.8924172762386,0.39405487804878
1,2,11,1,11.9040654099801,0.389862804878049
1,5,11,1,11.8998909946523,0.389481707317073
10,1,11,1,11.4632623975679,0.226371951219512
10,2,11,1,11.5071267932951,0.233231707317073
10,5,11,1,11.4553714941975,0.255716463414634
2,1,11,1,11.8128345903376,0.337271341463415
2,2,11,1,11.8177892673455,0.335746951219512
2,5,11,1,11.7919238439495,0.336890243902439
5,1,11,1,11.6256314964887,0.263338414634146
5,2,11,1,11.5979074388731,0.264481707317073
5,5,11,1,11.5630056701,0.283536585365854
1,1,12,1,11.9142618231777,0.403201219512195
1,2,12,1,11.9292843852444,0.400533536585366
1,5,12,1,11.9178180341083,0.40625
10,1,12,1,11.4770355279543,0.22484756097561
10,2,12,1,11.5082273324999,0.220655487804878
10,5,12,1,11.467087213885,0.25342987804878
2,1,12,1,11.7580155632954,0.357469512195122
2,2,12,1,11.7467036897667,0.361280487804878
2,5,12,1,11.7150497684007,0.357088414634146
5,1,12,1,11.6084276857736,0.262957317073171
5,2,12,1,11.5682531623745,0.26905487804878
5,5,12,1,11.5727498752551,0.286966463414634
1,1,13,1,11.9334123774846,0.375762195121951
1,2,13,1,11.9387029877509,0.370426829268293
1,5,13,1,11.9572648427897,0.375
10,1,13,1,11.491475158015,0.21875
10,2,13,1,11.4920415183994,0.235899390243902
10,5,13,1,11.4564163851019,0.251905487804878
2,1,13,1,11.7964840151628,0.325457317073171
2,2,13,1,11.7306028619455,0.337271341463415
2,5,13,1,11.7695831371061,0.329649390243902
5,1,13,1,11.5589348057307,0.270960365853659
5,2,13,1,11.5757779843281,0.281631097560976
5,5,13,1,11.5657817948653,0.293064024390244
1,1,14,1,11.8702012377194,0.392530487804878
1,2,14,1,11.8335086564444,0.39672256097561
1,5,14,1,11.8456413546382,0.397103658536585
10,1,14,1,11.4270506036309,0.214939024390244
10,2,14,1,11.4455004235365,0.231707317073171
10,5,14,1,11.4448540642697,0.24657012195122
2,1,14,1,11.7481594347825,0.326600609756098
2,2,14,1,11.7345149245075,0.34032012195122
2,5,14,1,11.7325758323505,0.339557926829268
5,1,14,1,11.4943241159008,0.264100609756098
5,2,14,1,11.5069748369528,0.272484756097561
5,5,14,1,11.5292413603946,0.294969512195122
1,1,15,1,11.9541165702175,0.37157012195122
1,2,15,1,11.9474054265089,0.378048780487805
1,5,15,1,11.9525111969706,0.377667682926829
10,1,15,1,11.5065236511958,0.218368902439024
10,2,15,1,11.5203885583193,0.232469512195122
10,5,15,1,11.4707438454241,0.252286585365854
2,1,15,1,11.7268961310368,0.332317073170732
2,2,15,1,11.7309545699178,0.331935975609756
2,5,15,1,11.7182794842507,0.341844512195122
