"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1,1,1,1,56291.2411171611,0.572674418604651
1,2,1,1,56793.4007202998,0.554586563307494
1,5,1,1,56499.0136166478,0.57235142118863
10,1,1,1,48958.3040861265,0.380813953488372
10,2,1,1,48414.8019787849,0.444444444444444
10,5,1,1,47973.6067114971,0.498385012919897
2,1,1,1,53117.1277779774,0.520671834625323
2,2,1,1,52368.943438042,0.553617571059432
2,5,1,1,52864.890674978,0.567829457364341
5,1,1,1,49814.2455221487,0.431201550387597
5,2,1,1,50231.4198254427,0.461886304909561
5,5,1,1,49700.6689701131,0.520348837209302
1,1,10,1,55952.3109149801,0.564276485788114
1,2,10,1,55649.8023915286,0.569444444444444
1,5,10,1,55467.4009568812,0.57235142118863
10,1,10,1,49332.9024422727,0.376937984496124
10,2,10,1,48363.6923045643,0.440245478036176
10,5,10,1,48077.1704898152,0.495801033591731
2,1,10,1,52636.1626147999,0.507428940568475
2,2,10,1,52653.0226063738,0.538759689922481
2,5,10,1,52665.7080783131,0.571705426356589
5,1,10,1,49790.9350360189,0.424418604651163
5,2,10,1,48826.9792448852,0.491602067183463
5,5,10,1,49029.2587803619,0.545865633074935
1,1,100,1,55361.8070259186,0.573320413436692
1,2,100,1,55842.2105718058,0.571059431524548
1,5,100,1,55330.1580990182,0.58656330749354
10,1,100,1,48772.8589975166,0.380167958656331
10,2,100,1,48689.1897999545,0.429909560723514
10,5,100,1,48126.6572880214,0.497416020671835
2,1,100,1,52812.635905586,0.509043927648579
2,2,100,1,53417.3988816586,0.539728682170543
2,5,100,1,52978.3759145192,0.571382428940568
5,1,100,1,49709.1229218441,0.455103359173127
5,2,100,1,49962.7836079035,0.483527131782946
5,5,100,1,49536.4638939676,0.543604651162791
1,1,11,1,55650.8396538844,0.567829457364341
1,2,11,1,55522.4819229992,0.583656330749354
1,5,11,1,55545.9034671256,0.582687338501292
10,1,11,1,49163.2416330616,0.371124031007752
10,2,11,1,48767.4728594884,0.429586563307494
10,5,11,1,48511.7918607315,0.499031007751938
2,1,11,1,51976.6973031589,0.488372093023256
2,2,11,1,51883.0785919431,0.50968992248062
2,5,11,1,52076.1338729215,0.540697674418605
5,1,11,1,50264.2779324191,0.42797157622739
5,2,11,1,49947.1100798366,0.469315245478036
5,5,11,1,49261.3580200011,0.52390180878553
1,1,12,1,55711.7768731849,0.56266149870801
1,2,12,1,55528.3146382711,0.573643410852713
1,5,12,1,55412.2863423412,0.59108527131783
10,1,12,1,48873.0119358079,0.382428940568475
10,2,12,1,48549.3058469332,0.430555555555556
10,5,12,1,48147.1305323138,0.501937984496124
2,1,12,1,54419.8626051681,0.49031007751938
2,2,12,1,53849.2557627125,0.522932816537468
2,5,12,1,53361.9639855004,0.565568475452196
5,1,12,1,50549.3083300034,0.443152454780362
5,2,12,1,50302.6353177347,0.486434108527132
5,5,12,1,49648.0929781972,0.549095607235142
1,1,13,1,55084.0959529701,0.582041343669251
1,2,13,1,55516.001425594,0.569444444444444
1,5,13,1,55511.7810419528,0.582364341085271
10,1,13,1,49657.4393908828,0.369186046511628
10,2,13,1,48489.4081188119,0.448966408268734
10,5,13,1,48024.9634294546,0.494509043927649
2,1,13,1,52530.7036964833,0.509043927648579
2,2,13,1,51728.1435262131,0.5578165374677
2,5,13,1,51710.3876005109,0.586886304909561
5,1,13,1,50098.0730009358,0.451550387596899
5,2,13,1,49448.9484617137,0.496447028423773
5,5,13,1,49282.8887016147,0.553294573643411
1,1,14,1,56108.7504732669,0.561046511627907
1,2,14,1,56310.5132611031,0.574612403100775
1,5,14,1,56299.5916174761,0.575904392764858
10,1,14,1,48938.3165854258,0.36046511627907
10,2,14,1,48415.6474245157,0.424095607235142
10,5,14,1,48173.5828524778,0.493217054263566
2,1,14,1,52891.9258194694,0.529069767441861
2,2,14,1,53365.4904401587,0.534560723514212
2,5,14,1,52816.9978227085,0.558462532299742
5,1,14,1,50067.5125652912,0.41828165374677
5,2,14,1,50106.7047869305,0.464147286821705
5,5,14,1,49713.5026181526,0.513888888888889
1,1,15,1,56007.7891864995,0.545865633074935
1,2,15,1,56018.0477753638,0.582364341085271
1,5,15,1,55940.2783044122,0.59140826873385
10,1,15,1,48701.335299043,0.392441860465116
10,2,15,1,48649.9060871094,0.440245478036176
10,5,15,1,48137.0227947338,0.504521963824289
2,1,15,1,53944.8890837882,0.488372093023256
2,2,15,1,53212.7625042585,0.516149870801034
2,5,15,1,53093.2891599426,0.547157622739018
5,1,15,1,50626.6751735914,0.412144702842377
5,2,15,1,50448.5503597983,0.464470284237726
5,5,15,1,50075.3495349969,0.51421188630491
1,1,16,1,54729.52067177,0.580103359173127
1,2,16,1,55162.830972141,0.593992248062015
1,5,16,1,55049.2910441175,0.601744186046512
10,1,16,1,48685.0934989576,0.373708010335917
10,2,16,1,48830.8561284443,0.444767441860465
10,5,16,1,48410.960306423,0.492894056847545
2,1,16,1,52395.344356748,0.51421188630491
2,2,16,1,52460.0914397874,0.555555555555556
2,5,16,1,52088.5213923887,0.583656330749354
5,1,16,1,49890.3288701057,0.419250645994832
5,2,16,1,49747.4047473599,0.486111111111111
5,5,16,1,49249.5571514946,0.531976744186046
1,1,17,1,55695.0174490467,0.570736434108527
1,2,17,1,55591.213731399,0.579134366925065
1,5,17,1,55732.3906674771,0.576550387596899
10,1,17,1,48690.1398661815,0.362080103359173
10,2,17,1,48724.6502766835,0.441214470284238
10,5,17,1,48050.5501425915,0.508720930232558
2,1,17,1,53611.2969480166,0.486434108527132
2,2,17,1,53518.5549502024,0.515180878552972
2,5,17,1,53191.2713015168,0.545219638242894
5,1,17,1,50134.3474799719,0.419250645994832
5,2,17,1,49622.5887939444,0.479005167958656
5,5,17,1,49388.1583865961,0.521963824289406
1,1,18,1,56033.6894609483,0.570090439276486
1,2,18,1,56250.9922289612,0.560723514211886
