"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1,1,1,1,3.15240657808709,0.789542483660131
1,2,1,1,3.04424006430621,0.837908496732026
1,5,1,1,3.04722437850781,0.841830065359477
10,1,1,1,2.5692418545746,0.441830065359477
10,2,1,1,2.51752164421645,0.474509803921569
10,5,1,1,2.48322355880081,0.509803921568627
2,1,1,1,2.820374793425,0.715032679738562
2,2,1,1,2.75669627403233,0.745098039215686
2,5,1,1,2.7032257783208,0.759477124183007
5,1,1,1,2.63978421650949,0.530718954248366
5,2,1,1,2.61899539499873,0.592156862745098
5,5,1,1,2.57984898596129,0.609150326797386
1,1,10,1,3.1054908396865,0.802614379084967
1,2,10,1,2.97619899305126,0.832679738562092
1,5,10,1,3.0193945164582,0.835294117647059
10,1,10,1,2.57624044947495,0.447058823529412
10,2,10,1,2.52072323086159,0.49281045751634
10,5,10,1,2.51983641250215,0.526797385620915
2,1,10,1,2.9542143537133,0.712418300653595
2,2,10,1,2.87768621445266,0.708496732026144
2,5,10,1,2.83327972883584,0.742483660130719
5,1,10,1,2.65712069166615,0.588235294117647
5,2,10,1,2.65465931677175,0.584313725490196
5,5,10,1,2.59565303662906,0.620915032679739
1,1,100,1,2.98128728649947,0.802614379084967
1,2,100,1,3.04558706224349,0.813071895424837
1,5,100,1,3.03697598571747,0.809150326797386
10,1,100,1,2.56941348393102,0.430065359477124
10,2,100,1,2.52701951702091,0.482352941176471
10,5,100,1,2.50031164559776,0.516339869281046
2,1,100,1,2.97281743861366,0.67843137254902
2,2,100,1,2.9493209476649,0.67843137254902
2,5,100,1,2.85452721205759,0.728104575163399
5,1,100,1,2.65729501874644,0.545098039215686
5,2,100,1,2.62136832203395,0.563398692810458
5,5,100,1,2.59106103653339,0.596078431372549
1,1,11,1,3.00375002179313,0.816993464052288
1,2,11,1,3.06948107261902,0.810457516339869
1,5,11,1,3.01622638715424,0.813071895424837
10,1,11,1,2.56253024478503,0.433986928104575
10,2,11,1,2.52196142859777,0.488888888888889
10,5,11,1,2.51129706855782,0.505882352941176
2,1,11,1,2.89054133746911,0.713725490196078
2,2,11,1,2.88857996787061,0.701960784313725
2,5,11,1,2.82728134550576,0.724183006535948
5,1,11,1,2.70551971283455,0.54640522875817
5,2,11,1,2.65745971511627,0.572549019607843
5,5,11,1,2.63326991363624,0.601307189542484
1,1,12,1,3.170792517751,0.803921568627451
1,2,12,1,3.19955545591252,0.780392156862745
1,5,12,1,3.16019909838359,0.786928104575163
10,1,12,1,2.5525465816779,0.452287581699346
10,2,12,1,2.48893897254936,0.469281045751634
10,5,12,1,2.47359469689556,0.512418300653595
2,1,12,1,2.89224524371129,0.674509803921569
2,2,12,1,2.82654853621023,0.713725490196078
2,5,12,1,2.80253223620816,0.726797385620915
5,1,12,1,2.74543871316828,0.533333333333333
5,2,12,1,2.68750068670392,0.543790849673203
5,5,12,1,2.64930476009512,0.577777777777778
1,1,13,1,3.26403635907124,0.776470588235294
1,2,13,1,3.08210244325476,0.820915032679739
1,5,13,1,3.06319938254376,0.835294117647059
10,1,13,1,2.5520393656437,0.449673202614379
10,2,13,1,2.53391628545023,0.449673202614379
10,5,13,1,2.51958574902136,0.499346405228758
2,1,13,1,2.84744918563993,0.704575163398693
2,2,13,1,2.83253225778688,0.704575163398693
2,5,13,1,2.77050661033393,0.730718954248366
5,1,13,1,2.66880130621155,0.550326797385621
5,2,13,1,2.64049195976892,0.583006535947712
5,5,13,1,2.57707081340836,0.623529411764706
1,1,14,1,3.09083024372544,0.777777777777778
1,2,14,1,3.06009616408297,0.776470588235294
1,5,14,1,3.06081625658345,0.809150326797386
10,1,14,1,2.5869789046421,0.435294117647059
10,2,14,1,2.54791958886618,0.482352941176471
10,5,14,1,2.48742601927822,0.525490196078431
2,1,14,1,2.81338500451222,0.696732026143791
2,2,14,1,2.85160903710938,0.713725490196078
2,5,14,1,2.83769061537533,0.720261437908497
5,1,14,1,2.60502972602787,0.566013071895425
5,2,14,1,2.58259342756624,0.583006535947712
5,5,14,1,2.57830679236694,0.613071895424837
1,1,15,1,2.94385618816655,0.835294117647059
1,2,15,1,3.0774811142442,0.835294117647059
1,5,15,1,2.93802468020277,0.843137254901961
10,1,15,1,2.57497111204343,0.441830065359477
10,2,15,1,2.55457319982504,0.462745098039216
10,5,15,1,2.51885548361935,0.501960784313725
2,1,15,1,2.90884596946502,0.713725490196078
2,2,15,1,2.88427100594225,0.72156862745098
2,5,15,1,2.84556963412932,0.77124183006536
5,1,15,1,2.63043843584234,0.535947712418301
5,2,15,1,2.59667724830501,0.568627450980392
5,5,15,1,2.57997414500325,0.6
1,1,16,1,3.13138951178297,0.828758169934641
1,2,16,1,3.16949645104591,0.849673202614379
1,5,16,1,3.11479869066501,0.841830065359477
10,1,16,1,2.55954167640838,0.464052287581699
10,2,16,1,2.525053247649,0.503267973856209
10,5,16,1,2.51102851352789,0.513725490196078
2,1,16,1,2.99083875099227,0.673202614379085
2,2,16,1,2.85350729509317,0.713725490196078
2,5,16,1,2.82423919703252,0.734640522875817
5,1,16,1,2.63601838084188,0.550326797385621
5,2,16,1,2.57445151393061,0.567320261437908
5,5,16,1,2.58938276547665,0.601307189542484
1,1,17,1,2.99597724635559,0.781699346405229
1,2,17,1,2.92386220435943,0.796078431372549
1,5,17,1,2.9332747931008,0.807843137254902
10,1,17,1,2.54922622300763,0.43921568627451
10,2,17,1,2.51847567934188,0.454901960784314
10,5,17,1,2.50289430464325,0.505882352941176
2,1,17,1,2.8726767387268,0.724183006535948
2,2,17,1,2.73560327786964,0.743790849673203
2,5,17,1,2.74943086340267,0.756862745098039
5,1,17,1,2.61875507636809,0.538562091503268
5,2,17,1,2.57266280502363,0.594771241830065
