"n","nchain","run","exp","rmse","cov"
NA,NA,NA,1,NA,NA
1,1,1,1,9.55624214813587,0.20496113397348
1,2,1,1,9.55046220317638,0.203074988568816
1,5,1,1,9.54671918116874,0.207818930041152
2,1,1,1,9.49663710275116,0.154435299497028
2,2,1,1,9.49633078999245,0.161179698216735
2,5,1,1,9.49482927520219,0.162894375857339
5,1,1,1,9.4335865706891,0.118827160493827
5,2,1,1,9.43290777856339,0.123971193415638
5,5,1,1,9.43646740907212,0.127857796067673
1,1,10,1,9.55736111334796,0.200445816186557
1,2,10,1,9.55200735358744,0.203932327389118
1,5,10,1,9.55188516351499,0.207133058984911
2,1,10,1,9.49427734445209,0.159350708733425
2,2,10,1,9.49513609283786,0.164951989026063
2,5,10,1,9.49150580532591,0.166438042981253
5,1,10,1,9.4398072997931,0.110139460448102
5,2,10,1,9.43838795869361,0.12037037037037
5,5,10,1,9.43503942889055,0.126428898033836
1,1,100,1,9.56082499190089,0.192558299039781
1,2,100,1,9.5615783507574,0.192158207590306
1,5,100,1,9.5591802353758,0.194844535893919
2,1,100,1,9.4923334846244,0.158093278463649
2,2,100,1,9.49621265025044,0.168781435756744
2,5,100,1,9.49398417033315,0.167809785093736
1,1,11,1,9.56979859535012,0.198902606310014
1,2,11,1,9.56963406629596,0.207018747142204
1,5,11,1,9.57300218635826,0.206732967535437
2,1,11,1,9.50361097575359,0.15232053040695
2,2,11,1,9.49840243471032,0.164151806127115
2,5,11,1,9.49720818937797,0.16655235482396
5,1,11,1,9.4418729032475,0.125628715134888
5,2,11,1,9.44670756664951,0.131344307270233
5,5,11,1,9.4356280371319,0.138545953360768
1,1,12,1,9.57992198403545,0.203932327389118
1,2,12,1,9.58258320481635,0.20496113397348
1,5,12,1,9.58080961167594,0.208333333333333
2,1,12,1,9.49767680056938,0.16175125743027
2,2,12,1,9.49407808771676,0.168495656149977
2,5,12,1,9.49953325978378,0.171867855509831
5,1,12,1,9.43723136920539,0.119227251943301
5,2,12,1,9.44016622509566,0.125
5,5,12,1,9.43475880574198,0.132030178326475
1,1,13,1,9.56571447250818,0.20033150434385
1,2,13,1,9.56319438489333,0.205932784636488
1,5,13,1,9.56569900743174,0.202732053040695
2,1,13,1,9.50176823819323,0.17135345221765
2,2,13,1,9.50998396709806,0.169238683127572
2,5,13,1,9.50767898330141,0.173468221307727
5,1,13,1,9.43944236700331,0.123685413808871
5,2,13,1,9.43486939378062,0.125743026977595
5,5,13,1,9.43483199980617,0.129572473708276
1,1,14,1,9.57119533319251,0.202903520804755
1,2,14,1,9.57362673586787,0.20181755829904
1,5,14,1,9.56690657802973,0.206275720164609
2,1,14,1,9.5123615915141,0.164437585733882
2,2,14,1,9.49472693318316,0.16838134430727
2,5,14,1,9.5046120714427,0.168895747599451
5,1,14,1,9.43376028774721,0.116483767718336
5,2,14,1,9.43617602707006,0.120999085505258
5,5,14,1,9.43343700817306,0.127800640146319
1,1,15,1,9.55266744873767,0.198788294467307
1,2,15,1,9.54940506173617,0.200445816186557
1,5,15,1,9.54940164550737,0.201074531321445
2,1,15,1,9.48353769424416,0.154606767261088
2,2,15,1,9.48372676584443,0.165580704160951
2,5,15,1,9.48896396585321,0.171467764060357
5,1,15,1,9.44028212805443,0.11556927297668
